,name,price,original_price,discount,rating,review_count,sales_count,seller_name,category
592,"Quạt Hộp, Quạt Để Bàn 5 Cánh Midea FB40-9H (Quạt Điện Hàng Chính Hãng, Công suất",1350000,1350000,0,5.0,1,1,ANP living,Quạt Điện
597,"Quạt sạc tích điện DQ218 đeo thắt lưng, đeo cổ, để bàn cầm tay 3 trong 1, tích hợp sạc dự phòng, đèn pin chiếu sáng, hàng chính hãng",429000,429000,0,5.0,4,23,ĐIỆN MÁY HTG,Quạt Điện
598,Quạt tích điện mini xoay tự động HATACA,420000,420000,0,5.0,6,8,Đèn bắt muỗi con dơi,Quạt Điện
599,"Quạt Mini Để Bàn M102, Quạt Tích Điện Dung Lượng Pin 4000 mAh, 3 Chế Độ Gió, Xoay 360 Độ - Hàng Chính Hãng",199000,199000,0,5.0,24,114,HDC Home,Quạt Điện
601,Quạt Điện Treo Tường Midea FW40-7JR - Hàng chính hãng,1140000,1390000,18,4.7,10,28,Công ty Kỷ Nguyên,Quạt Điện
602,QUẠT SẠC TÍCH ĐIỆN ĐỂ BÀN DP-7626 HÀNG NHẬP KHẨU,199000,199000,0,5.0,2,6,linhkien1984,Quạt Điện
611,Quạt Rút Điện Cơ 91 QR-THA - Hàng Chính Hãng,420000,420000,0,4.0,3,14,Cửa Hàng Tuấn Anh,Quạt Điện
621,Quạt Điện Làm Mát Để Bàn Chạy Pin 2400mAh Sạc USB Xiaomi Hàng nhập khẩu,246000,365000,33,5.0,1,4,MOKOEZ,Quạt Điện
629,Quạt kẹp tích điện Jisulife Life2/ Life2 S 4000mAh/5000mAh có Tốc năng | Tuốc năng | Lọc không khí | Hàng Chính hãng,711550,1000000,29,5.0,1,1,Yesbuy Store,Quạt Điện
634,Quạt Tích Điện Cầm Tay Pin Trâu 32h Sử Dụng Yoobao F3 Với 3 Tốc Độ Gió Có Đèn Báo Pin Thiết Kế Nhỏ Ngọn - Hàng Chính Hãng,350000,350000,0,3.5,2,30,Minh Vy Store,Quạt Điện
645,"Quạt Tích Điện, Quạt Đứng Thông Minh XIAOMI Smartmi Gen 3 Pro/ Smartmi Gen 2S/ Smartmi Gen 2 Lite Tốc Độ Gió Quạt Siêu Êm, Kết Nối App Mihome - Hàng Chính Hãng",1770000,3569000,50,5.0,1,4,HOMES STORE,Quạt Điện
648,Quạt đứng lửng PEC Điện cơ 91 QR-CĐ (Hàng chính hãng),936000,936000,0,1.0,1,1,Cửa Hàng Tuấn Anh,Quạt Điện
654,Quạt Sạc Tích Điện Mini Gấp Gọn Cầm Tay Comet CRF0904 3W Pin lithium-ion 3.7V 1200mAh Nhỏ Gọn Sạc USB Tiện Lợi,199000,249000,20,5.0,3,33,Comet Electric Official Store,Quạt Điện
655,Combo 2 quạt đứng lửng PEC Điện Cơ 91 QR-CO - Hàng chính hãng,880000,880000,0,5.0,3,10,Smart Shop TC,Quạt Điện
659,Quạt Điện Thông Minh Xiaomi Fan 1C Đa Tốc Độ Gió Quạt Siêu Êm Kết Nối App Thông Minh Công Suất 32 W - Hàng Nhập Khẩu,1070000,2099000,49,4.0,2,7,HOMES STORE,Quạt Điện
661,"Quạt Treo Tường 3 Cánh Midea FW40-7JR (Quạt Điện Công Suất 55W, Chỉnh Gió 3 Tốc Độ, Có Điều Khiển Từ Xa)",2150000,2150000,0,5.0,1,6,ANP living,Quạt Điện
663,Quạt rút cá 4 số có hẹn giờ chính hãng Điện Cơ 91,450000,450000,0,3.0,3,6,Cửa Hàng Tuấn Anh,Quạt Điện
664,"Quạt Để Bàn Tích Điện Mini Cao Cấp Teement,  Tích Hợp Đèn Ngủ Động Cơ Không Tiếng Ồn Pin 1200mah , Điều Chỉnh Lên Xuống 360°, 3 Cấp Độ Gió Siêu Mát Dễ Điều Chỉnh- Hàng Chính Hãng",270000,270000,0,5.0,2,15,Venie,Quạt Điện
666,Quạt Sạc Tích Điện Dạng Hộp FUJIKA FJ-EF0112 - Hàng Chính Hãng,840000,840000,0,4.5,2,3,GIA DỤNG VIỆT,Quạt Điện
668,QUẠT ĐỨNG CAO CẤP ĐIỆN DC  DK168 12V - HÀNG CHÍNH HÃNG 3HT,399000,399000,0,3.0,3,12,Thành Hân 3HT,Quạt Điện
674,Quạt Tản Gió Điện Cơ 91 Chuyển Hướng Điện Đổ Tự Ngắt QT300A - Màu Ngẫu Nhiên - Hàng chính hãng,395000,395000,0,4.7,13,30,Cửa Hàng Tuấn Anh,Quạt Điện
676,Quạt sạc tích điện DP DP-7626 tích hợp đèn LED chiếu sáng - loại quạt trung gió rất mạnh với nút bấm cảm ứng HÀNG CHÍNH HÃNG,399000,399000,0,5.0,1,1,Siêu Thị NaNo,Quạt Điện
678,"Quạt Mini Tích Điện Đeo Cổ Thời Trang Besti Y01,  3 Tốc Độ Gió Siêu Mát, Chạy Siêu Êm, Dung Lượng Pin 2000mAh, Phù Hợp Khi Chạy Bộ, Đi Du Lịch , Văn Phòng, Đi Chơi- Hàng Chính Hãng",230000,230000,0,4.5,32,210,Venie,Quạt Điện
679,"Quạt tích điện đế kẹp YOOBAO F8 8000mAh có đèn led,quạt tích điện kiêm sạc dự phòng 3in1, dùng liên tục 8-30 tiếng - Hàng chính hãng",650000,650000,0,5.0,1,1,HoangHai store,Quạt Điện
681,Quạt sạc tích điện để bàn kiêm đèn ngủ  Nineshield KBQD01 - Hàng chính hãng,556000,556000,0,5.0,1,1,Nineshield Official Store,Quạt Điện
691,Combo 2 Quạt treo tường PEC Điện cơ 91 QTT-ĐKA (Hàng chính hãng),1250000,1250000,0,5.0,10,22,Cửa Hàng Tuấn Anh,Quạt Điện
695,"Quạt tích điện mini cầm tay YOOBAO F3 3000mAh, pin bền 15h liên tục, nhỏ gọn cất vào balo sạc USB tiện dụng mang đi chơi - Hàng chính hãng",250000,250000,0,5.0,1,1,HoangHai store,Quạt Điện
698,Combo 2 quạt trần PEC Điện Cơ 91 QT1400 màu xanh (Hàng chính hãng),1490000,1490000,0,5.0,3,7,Cửa Hàng Tuấn Anh,Quạt Điện
699,"Quạt đeo cổ sò lạnh Half Horse với cục sò lạnh trang bị chip điện lạnh, giảm tức thì tới 20 độ chỉ sau 3 giây, thổi bay cơn nóng. Hàng chính hãng",189050,360000,47,4.0,1,16,Tăm nước Sài Gòn,Quạt Điện
701,Quạt treo tường PEC Điện cơ 91 QTT-CN450/2D (Hàng chính hãng),450000,450000,0,4.0,1,2,Cửa Hàng Tuấn Anh,Quạt Điện
703,"Quạt Điện Cơ 5 Cánh ABG X19, Quat Dien Co , Quạt Điện Dáng Đứng  5 Cánh Đa Năng –Thiết Kế 3 Tốc Độ Gió Linh Hoạt, Chuyên Dùng Với Không Gian Rộng Trong Nhà- Hàng Chính Hãng.",400000,400000,0,1.0,1,3,Pi Stores,Quạt Điện
708,"Quạt Sạc Tích Điện Để Bàn Đa Năng COMET CRF1406 6W, 3 Cấp Độ Gió, Có Đèn LED, 2 pin rời 18650 Lithium 1200mAh Để Bàn Văn Phòng - Hàng chính hãng",399000,459000,13,4.0,3,17,Comet Electric Official Store,Quạt Điện
712,Quạt Tháp Điện Xiaomi Để Bàn Sạc Pin 4000mAh Để Bàn Văn Phòng / Nhà Mang Đi Tiện Dụng Hàng nhập khẩu,449000,699000,36,5.0,1,2,MOKOEZ,Quạt Điện
725,Quạt Đứng Tích Điện Năng Lượng Mặt Trời chính hãng Jindian công suất 25w -Mã JD188LL ,1100000,1100000,0,5.0,2,4,Đèn Năng Lượng Jindian,Quạt Điện
728,"Quạt Tích Điện Không Dây XIAOMI Smartmi Gen 2S, Sử Dụng 20 Giờ Liên Tục 100 Tốc Độ Gió Quạt Siêu Êm, Có Remote, Kết Nối App Thông Minh Công Suất 25W- Hàng Chính Hãng",1760000,3499000,50,4.8,6,21,HOMES STORE,Quạt Điện
732,Quạt Đứng AC ASF01D145 (16W) Động Cơ DC Inverter Tiết Kiệm Điện - Hàng Chính Hãng,2022000,2656000,24,4.0,1,1,Edistributor,Quạt Điện
742,Quạt Tích Điện Để Bàn Xiaomi 3life 008 Sử Dụng 6-24 Giờ Liên Tục Tùy Cấp Độ Gió - Hàng Nhập Khẩu,770000,1399000,45,4.5,4,10,HOMES STORE,Quạt Điện
744,"Quạt trần có đèn trao đèn bằng thủy tinh trang trí cho phòng khách, với phong khách cổ điển và hiện đại kết hợp",1690000,1690000,0,5.0,1,7,Đại Việt Gold,Quạt Điện
751,"Quạt Điều Hòa Làm Mát Không Khí Galen G020 Công Suất 65W, Công Nghệ Nhật Bản, Tiết Kiệm Điện Năng - Hàng Chính Hãng",999900,1998571,50,4.5,5,15,Smart House Store,Quạt Điện
757,Quạt Tích Điện Mi-Lux F188 Đối Lưu Không Khí Thế Hệ Mới Pin 8000mAh Tích Điện 20- 60 Giờ Gồm 4 Cấp Độ GióTích Hợp Đèn Ngủ - Hàng Chính Hãng,1570000,2999000,48,4.8,6,14,HOMES STORE,Quạt Điện
758,Quạt Tích Điện Để Bàn Xiaomi Mijia Phiên Bản 2023 Không Gian Sử Dụng 10-20m2 Sử Dụng 18 Giờ Liên Tục - Hàng Chính Hãng,750000,1359000,45,4.7,7,40,HOMES STORE,Quạt Điện
762,"Quạt điện lửng Mitomo FCE-60HEV, công suất 60W mạnh mẽ, động cơ dây đồng - hàng chính hãng bảo hành 2 năm",679000,1255000,46,5.0,1,3,MITOMO ELECTRONIC,Quạt Điện
772,"Quạt đứng tích điện P2000 thông minh không dây, điều khiển từ xa có đèn ngủ, gấp gọn lưu trữ tiện lợi, linh hoạt xoay quay tự động, hàng chính hãng",1390000,1390000,0,4.8,6,14,ĐIỆN MÁY HTG,Quạt Điện
773,Quạt Điện Làm Mát Xiaomi Mini 4000mAh 4 Tốc Độ Gắn Tường Đa Năng Có Thể Sạc Lại Bằng Cổng USB Hàng nhập khẩu,274000,399000,31,1.0,1,1,MOKOEZ,Quạt Điện
774,"sải cánh 1m67 dài, Quạt trần 6 cánh có đèn Led trang trí, điều khiển từ xa, động cơ DC 6 số tiết kiệm điện",2100000,2100000,0,3.0,1,4,Đại Việt Gold,Quạt Điện
777,"Quạt tích điện mini để bàn phun sương hơi nước phù hợp gia đình, văn phòng, nhỏ gọn cầm tay, có pin, đèn ngủ - Hàng chính hãng VinBuy",320000,600000,47,5.0,2,8,VinBuy,Quạt Điện
779,"Quạt tích điện ông tây 2 trong 1, có đèn, 2 chế độ gió, kiêm sạc dự phòng gấp gọn - Hàng Chính hãng MINIIN (Giao màu ngẫu nhiên)",189050,199000,5,5.0,1,5,Smarthome29,Quạt Điện
798,"Quạt điều hòa hơi nước mini làm mát không khí để bàn nhỏ gọn, phun sương mạnh nhiều chế độ có bình đựng nước, nốt chạm cảm ứng, pin sạc tích điện, có đèn - Hàng chính hãng VinBuy",320000,600000,47,4.5,44,269,VinBuy,Quạt Điện
806,Quạt Kẹp Tích Điện Mini Để Bàn Kiêm Sạc Dự Phòng Yoobao F8 3in1 Có Đèn Led Pin 8000mah Dùng 14-33h Liên Tục - Hàng Chính Hãng,401721,500000,20,5.0,1,8,Minh Vy Store,Quạt Điện
808,"Quạt đứng Toshiba F-LSD10(H)VN - Màu Xám - Điều khiển từ xa núm xoay vô cực - 9 cánh - DC inverter tiết kiệm điện 70% - 26 tốc độ gió - Màn hình LED hiển thị - Hàng chính hãng, bảo hành 12 tháng, chất lượng Nhật Bản",1749000,2090000,16,5.0,2,7,Gia Dụng Lạc Khải,Quạt Điện
822,Quạt Đứng Toshiba F- LSA20(W)VN (60W) - Trắng - Hàng chính hãng,1200000,1310000,8,4.7,689,3426,Tiki Trading,Quạt Điện
823,Quạt đứng Toshiba F-LSA10(H)VN (50W) - Xám - Hàng chính hãng,891000,1080000,18,4.7,234,1248,Tiki Trading,Quạt Điện
824,Quạt Cầm Tay Mini JISULIFE FA42 Siêu Mát - Sạc Nhanh - Pin 2000/4500mAh Sử Dụng Đến 6H-12H - Hàng Chính Hãng,217550,340000,36,5.0,2,44,Yesbuy Store,Quạt Điện
825,Quạt Cầm Tay Mini JISULIFE FA43 Siêu Mát - Sạc Nhanh - Pin 4000mAh Sử Dụng Lên Đến 12H - Hàng Chính Hãng,312550,430000,27,5.0,1,12,Yesbuy Store,Quạt Điện
826,Quạt điều khiển Senko TH-TR1628 - Hàng chính hãng,515000,520000,1,5.0,11,35,Tuấn Yến HCM,Quạt Điện
827,Quạt lỡ Senko L1638 Xám Đồng - Hàng Chính Hãng,349000,520000,33,5.0,54,239,Nguyễn Kim Official,Quạt Điện
828,Quạt bàn Senko BD1012 Kem môn - Hàng chính hãng,320000,420000,24,5.0,1,5,Nguyễn Kim Official,Quạt Điện
829,Quạt Hút Thông Gió Senko H200 (35W) - Hàng Chính Hãng,291000,291000,0,4.5,9,28,Tuấn Yến HCM,Quạt Điện
830,"Quạt sạc mini xoay góc 720 độ, đế kẹp đa năng hoặc đặt bàn, an toàn cho trẻ với 4 nấc điều chỉnh gió chính hãng YOOBAO F04 - Hàng nhập khẩu",227050,317000,28,4.6,67,206,Yesbuy Store,Quạt Điện
831,"Quạt kẹp mini Yoobao xoay 360 độ, dùng được 32h, pin sạc dung lượng lớn 6400mah",289000,289000,0,5.0,1,6,BIKIDSVN,Quạt Điện
832,Quạt Bàn Đảo 3 Tấc Senko BD1010 - Màu Ngẫu Nhiên - Hàng chính hãng,345000,345000,0,4.8,27,87,Tuấn Yến HCM,Quạt Điện
833,Quạt Hút Thông Gió Âm Trần Senko HT150 (30W) - Hàng Chính Hãng,276000,276000,0,5.0,15,89,Tuấn Yến HCM,Quạt Điện
836,Quạt treo tường 2 dây Senko TC1886 - Hàng Chính Hãng,458000,458000,0,5.0,1,1,ĐiệnTânThịnh,Quạt Điện
837,Quạt Đứng Cao Cấp 47W Senko DH1600 (Có chế độ hẹn giờ) - Quạt L1638 (Thân nhựa) - Quạt LS1630 (Thân Sắt) - Hàng chính hãng - Bảo Hành 24 Tháng,374000,572000,35,5.0,1,4,Edistributor,Quạt Điện
838,Điều khiển chính hãng quạt trần Panasonic model F-56XPGTBDSVV,199000,199000,0,5.0,1,6,Điện tử Phương Nam,Quạt Điện
840,Quạt treo tường 2 dây SENKO TC1626 - Hàng Chính Hãng,355000,355000,0,5.0,2,38,Tuấn Yến HCM,Quạt Điện
842,Quạt Hút Thông Gió Senko H250 40W - Hàng Chính Hãng,299000,299000,0,4.8,21,116,Tuấn Yến HCM,Quạt Điện
845,"Quạt trần 3 cánh Panasonic F-56NCL, F-56NCL-S  (MÀU ĐỒNG)_Nhập Khẩu",1517000,1517000,0,5.0,2,20,ĐiệnTânThịnh,Quạt Điện
846,Quạt Trần Panasonic F-60MZ2 (18inch) - Hàng chính hãng,1160000,1165000,0,4.5,4,35,Tuấn Yến HCM,Quạt Điện
850,Quạt Bàn Đảo 2 Tấc Senko BD230 - Hàng Chính Hãng - Màu Ngẫu Nhiên,225000,225000,0,4.5,31,141,Tuấn Yến HCM,Quạt Điện
853,Quạt Hộp 4 Tấc Senko BD850 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,478000,483000,1,4.6,18,47,Tuấn Yến HCM,Quạt Điện
854,Quạt đứng Senko có đèn DD1602 hàng chính hãng màu sắc ngẫu nhiên ,530000,535000,1,4.6,8,30,Tuấn Yến HCM,Quạt Điện
857,"Quạt Đứng Senko Có Chức Năng Hẹn Giờ Sang Trọng, Cao Cấp DH1600 - Hàng Chính Hãng",445000,450000,1,4.5,28,153,Tuấn Yến HCM,Quạt Điện
859,Quạt hút thông gió 2 chiều âm tường Senko Hàng Chính Hãng H150 30W,274000,274000,0,4.0,1,7,Tuấn Yến HCM,Quạt Điện
862,"Quạt treo tường Toshiba F-WSA20(H)VN - 3 cánh, động cơ bạc thau - 3 mức gió - Điều khiển từ xa - Hẹn giờ tắt - Hàng chính hãng, bảo hành 12 tháng",1129000,1490000,24,4.8,6,22,Gia Dụng Lạc Khải,Quạt Điện
863,Quạt đứng Senko DTS1607 - Hàng chính hãng,455000,460000,1,5.0,141,585,Tuấn Yến HCM,Quạt Điện
868,Quạt treo 2 dây Senko ( Hàng Chính Hãng ) TC1626,355000,355000,0,4.7,22,161,Tuấn Yến HCM,Quạt Điện
872,QUẠT ĐỨNG HẸN GIỜ SENKO DH1600 hàng chính hãng (Màu sắc ngẫu nhiên),445000,450000,1,4.3,49,186,Tuấn Yến HCM,Quạt Điện
873,Quạt Bàn Đảo 4 Tấc Senko BD850 - Hàng chính hãng ,428000,428000,0,4.0,3,64,VKT Nhà Phân Phối Thiết Bị Điện,Quạt Điện
876,Quạt Bàn Đảo 2 Tấc Senko BD230 (27W),225000,225000,0,4.8,21,124,Tuấn Yến HCM,Quạt Điện
877,Quạt đứng điều khiển từ xa Senko hàng chính hãng - DR1608,765000,770000,1,4.8,19,67,Tuấn Yến HCM,Quạt Điện
880,Quạt Treo Tường Điều Khiển Từ Xa Senko TR1428 (Remote) - Xám - Hàng chính hãng,511000,516000,1,5.0,28,153,Tuấn Yến HCM,Quạt Điện
881,Quạt Bàn Đảo 3 Tấc Senko BD8860 - Màu Ngẫu Nhiên - Hàng chính hãng,345000,345000,0,4.7,11,17,Tuấn Yến HCM,Quạt Điện
884,Quạt Bàn Đảo 3 Tấc Senko BD860 - Màu ngẫu nhiên - Hàng Chính Hãng,322000,322000,0,5.0,5,10,Tuấn Yến HCM,Quạt Điện
886,Quạt Bàn Panasonic F-400C-Hàng Chính Hãng,1040000,1050000,1,4.8,5,9,Công ty cổ phần Thắng Nây An,Quạt Điện
888,Quạt đứng công nghiệp Senko DCN1806 65W - Hàng Chính Hãng,520000,525000,1,4.5,6,34,Tuấn Yến HCM,Quạt Điện
889,Quạt Lỡ Thân Sắt Senko LTS1636 (Hàng Chính Hãng) - Giao màu ngẫu nhiên,438000,438000,0,4.6,12,66,Tuấn Yến HCM,Quạt Điện
893,Quạt treo điều khiển từ xa TR1628 - Hàng chính hãng,515000,520000,1,5.0,8,27,Tuấn Yến HCM,Quạt Điện
894,Quạt treo tường remote Senko Hàng Chính Hãng - TR1428 - Giao màu ngẫu nhiên,508000,513000,1,4.5,17,62,Tuấn Yến HCM,Quạt Điện
895,Quạt Treo Tường 2 Dây SENKO TC1626 - Màu Ngẫu Nhiên - Hàng Chính Hãng,355000,355000,0,4.7,43,214,Tuấn Yến HCM,Quạt Điện
896,Quạt bàn B4 SENKO B1612 - Hàng chính hãng,325000,325000,0,5.0,2,16,Tuấn Yến HCM,Quạt Điện
897,Quạt Đứng Công Nghiệp Senko DCN1809 (Lồng Quạt Mạ Crom) - Quạt Đứng DCN1807 - Hàng Chính Hãng - Bảo Hành 24 Tháng,605000,809000,25,5.0,1,2,Edistributor,Quạt Điện
898,Quạt treo tường remote Senko Hàng Chính Hãng - TR1683,515000,520000,1,3.5,2,9,Tuấn Yến HCM,Quạt Điện
899,Quạt bàn B4 Senko B1612 - Giao màu ngẫu nhiên - Hàng Chính Hãng,322000,322000,0,5.0,4,32,Tuấn Yến HCM,Quạt Điện
902,Quạt hút thông gió phi 150 - Quạt hút gió đồng trục cấp khí tươi cho công trình nhà - Hàng chính hãng GDXLFJ siêu chống ồn,1250000,1250000,0,4.8,10,34,Shop Công Cụ Thông Minh,Quạt Điện
903,Quạt đứng Toshiba F- LSA20(H)VN (60W) - Xám - Hàng chính hãng,1510500,1590000,5,4.8,4,13,TOSHIBA Official Store,Quạt Điện
904,Quạt Sạc Kiêm Đèn Sạc HONJIANDA HJD- FL301 LED - Hàng chính hãng,777000,782000,1,4.7,7,31,Tuấn Yến HCM,Quạt Điện
905,Quạt đứng thân sắt SENKO DTS1609 - Hàng chính hãng,486000,491000,1,5.0,3,11,Tuấn Yến HCM,Quạt Điện
907,Quạt Bàn Đảo 3 Tấc Senko BD1012 cao cấp - Màu Ngẫu Nhiên - Hàng chính hãng,322000,322000,0,5.0,17,51,Tuấn Yến HCM,Quạt Điện
908,"Quạt Cây Đứng Mitomo FCE-60 có điều khiễn từ xa, hẹn giờ hàng chính hãng",749000,1278000,41,4.3,11,53,MITOMO ELECTRONIC,Quạt Điện
909,Quạt treo tường Senko TC1880 - Hàng Chính Hãng,455000,460000,1,4.5,2,7,Tuấn Yến HCM,Quạt Điện
910,Quạt Hút Thông Gió Âm Trần Senko HT250 (40W) - Hàng Chính Hãng,299000,299000,0,5.0,7,41,Tuấn Yến HCM,Quạt Điện
911,(ASIA) Quạt sàn Asia TURBO 6 cánh 80w 90w - bán công nghiệp - Hàng chính hãng,729000,729000,0,5.0,22,94,Nhà Sạch Ngon Cơm,Quạt Điện
912, Quạt cây có điều khiển Toshiba F-LSA20(W)VN - Hàng chính hãng,1290000,1590000,19,5.0,5,29,Nguyễn Kim Official,Quạt Điện
913,Quạt Hút Thông Gió Âm Trần Senko HT200 (35W) - Hàng Chính Hãng,288000,288000,0,5.0,8,31,Tuấn Yến HCM,Quạt Điện
914,Quạt treo 2 dây SENKO TC1626 - Hàng chính hãng,355000,355000,0,4.0,2,10,Tuấn Yến HCM,Quạt Điện
918,Quạt đứng Toshiba F-LSA20(H)VN Xám - Hàng chính hãng,1290000,1590000,19,4.8,4,13,Nguyễn Kim Official,Quạt Điện
919,Quạt đứng Toshiba F-LSA10(H)VN - Hàng Chính Hãng,1090000,1230000,11,5.0,1,11,Nguyễn Kim Official,Quạt Điện
920,Quạt treo tường Senko TR1628 có remote điều khiển - Bảo hành 2 năm - Hàng chính hãng - Được chọn màu,511000,516000,1,4.7,23,83,Tuấn Yến HCM,Quạt Điện
923,Quạt bàn mini Senko cao cấp ( Màu ngẫu nhiên ) - Hàng chính hãng,235000,235000,0,5.0,1,12,Tuấn Yến HCM,Quạt Điện
925,Quạt Treo 2 Dây Senko TC1626 (47W) - Hàng chính hãng,355000,355000,0,4.6,8,18,Tuấn Yến HCM,Quạt Điện
929,Quạt Lỡ Senko thân Inox Hàng Chính Hãng - LTS106A,457000,462000,1,5.0,3,8,Tuấn Yến HCM,Quạt Điện
933,Quạt treo 2 dây mẫu mới F23 Senko TC1622 - Hàng chính hãng,419000,419000,0,5.0,6,31,Tuấn Yến HCM,Quạt Điện
935,Quạt đứng Toshiba F-LSA20(H)VN - Hàng Chính Hãng,1310000,1310000,0,5.0,1,3,Yes1 Store,Quạt Điện
937,Quạt hút thông gió 2 chiều âm tường cao cấp Senko H200 35W (Hàng Chính Hãng),288000,288000,0,4.5,5,14,Tuấn Yến HCM,Quạt Điện
938,Quạt Đứng Toshiba F-LSA10(K)VN (50W) - Hàng Chính Hãng,891000,1050000,15,4.7,633,3714,Tiki Trading,Quạt Điện
